timestamp,sound,loudness
1000,469,337
2000,514,396
3000,567,400
4000,464,343
5000,349,368
6000,524,347
7000,187,390
8000,377,324
9000,488,323
10000,550,362
11000,331,342
12000,474,349
13000,394,358
14000,313,367
15000,403,332
16000,380,303
17000,491,385
18000,263,335
19000,352,308
20000,282,340
21000,402,318
22000,338,324
23000,540,325
24000,338,329
25000,491,368
26000,464,331
27000,687,365
28000,657,340
29000,393,355
30000,387,340
31000,286,352
32000,581,313
33000,411,348
34000,511,393
35000,112,362
36000,39,392
37000,255,385
38000,523,317
39000,501,374
40000,287,342
41000,558,359
42000,102,353
43000,684,358
44000,507,343
45000,251,310
46000,308,311
47000,253,395
48000,527,334
49000,421,305
50000,317,333
51000,163,343
52000,459,351
53000,612,325
54000,403,334
55000,413,374
56000,256,365
57000,578,315
58000,607,326
59000,434,293
60000,507,354
61000,592,447
62000,861,716
63000,524,658
64000,595,620
65000,353,589
66000,380,572
67000,418,556
68000,352,590
69000,565,575
70000,684,616
71000,369,630
72000,434,628
73000,505,551
74000,622,624
75000,151,617
76000,488,593
77000,553,624
78000,456,610
79000,454,612
80000,207,601
81000,455,585
82000,312,612
83000,493,607
84000,476,580
85000,595,587
86000,403,647
87000,365,619
88000,578,644
89000,321,621
90000,353,588
91000,550,640
92000,525,597
93000,347,636
94000,649,624
95000,462,603
96000,423,631
97000,273,661
98000,451,625
99000,180,628
100000,587,621
101000,552,623
102000,452,581
103000,413,606
104000,202,659
105000,241,634
106000,521,662
107000,553,656
108000,497,591
109000,506,549
110000,484,597
111000,525,577
112000,488,595
113000,544,628
114000,490,603
115000,640,642
116000,206,611
117000,337,634
118000,570,649
119000,517,637
120000,440,647
121000,307,656
122000,433,621
123000,461,654
124000,491,580
125000,750,617
126000,767,543
127000,383,297
128000,813,328
129000,846,315
130000,974,324
131000,927,309
132000,952,334
133000,792,326
134000,948,313
135000,925,312
136000,888,321
137000,905,301
138000,932,309
139000,907,304
140000,1003,334
141000,957,312
142000,987,326
143000,949,308
144000,782,320
145000,882,333
146000,825,307
147000,789,325
148000,697,317
149000,882,331
150000,883,346
151000,608,426
152000,700,341
153000,776,348
