timestamp,sound ,loudness
0,197,136
60000,197,123
120000,283,131
180000,302,127
240000,371,132
300000,343,126
360000,362,117
420000,397,120
480000,375,126
540000,475,121
600000,428,119
660000,446,132
720000,471,131
780000,430,121
840000,449,126
900000,417,137
960000,488,118
1020000,451,123
1080000,503,125
1140000,506,125
1200000,499,130
1260000,549,119
1320000,525,143
1380000,469,121
1440000,523,123
1500000,513,112
1560000,491,124
1620000,521,122
1680000,491,135
1740000,543,125
1800000,503,132
1860000,478,121
1920000,536,132
1980000,513,147
2040000,545,123
2100000,553,128
2160000,545,127
2220000,565,110
2280000,572,98
2340000,504,200
2400000,547,124
2460000,563,160
2520000,573,167
2580000,545,144
2640000,592,103
2700000,582,106
2760000,534,118
2820000,525,98
2880000,560,86
2940000,533,129
3000000,557,164
3060000,576,77
3120000,599,129
3180000,522,103
3240000,557,126
3300000,549,148
3360000,532,132
3420000,572,118
3480000,584,147
3540000,570,157
3600000,575,119
3660000,523,131
3720000,91,120
3780000,100,108
3840000,43,141
3900000,515,213
3960000,82,132
4020000,615,135
4080000,640,112
4140000,651,100
4200000,655,121
4260000,730,128
4320000,739,111
4380000,634,123
4440000,695,123
4500000,727,133
4560000,626,116
4620000,652,178
4680000,643,133
4740000,653,112
4800000,616,126
4860000,655,125
4920000,699,125
4980000,615,135
